# Logger: PatternLogger | Started: Sun Apr 26 10:47:21 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-26 10:47:33.067,11.502,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[144576e4-ecc9-4845-baf1-350b16297f51];[15a0744b-0431-42d1-8a28-58b61efc5be4]]
2026-04-26 10:47:34.025,12.460,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ada773e8-8004-4bcf-b872-fa4a275edebd]]
2026-04-26 10:47:34.026,12.461,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[144576e4-ecc9-4845-baf1-350b16297f51];[15a0744b-0431-42d1-8a28-58b61efc5be4];[ada773e8-8004-4bcf-b872-fa4a275edebd]]
2026-04-26 10:47:34.040,12.475,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[3c54b884-e6a1-4f45-b250-b441aa0d2751]]
2026-04-26 10:47:35.011,13.446,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[9ed98d2d-b1db-4d19-a7b2-9eb36b2337ec]]
2026-04-26 10:47:35.024,13.459,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6c5f2a54-6363-4a72-9f54-048ee3a5edca]]
2026-04-26 10:47:35.026,13.461,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[3c54b884-e6a1-4f45-b250-b441aa0d2751];[6c5f2a54-6363-4a72-9f54-048ee3a5edca]]
2026-04-26 10:47:36.030,14.465,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[0d86c8d0-bf34-4a88-98f7-0f5b32f04bb4]]
2026-04-26 10:47:36.043,14.478,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e24a899d-8cdc-4ce7-aa1f-7cd68d6c1807]]
2026-04-26 10:47:36.044,14.479,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[3c54b884-e6a1-4f45-b250-b441aa0d2751];[6c5f2a54-6363-4a72-9f54-048ee3a5edca];[e24a899d-8cdc-4ce7-aa1f-7cd68d6c1807]]
2026-04-26 10:47:36.045,14.480,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[0d86c8d0-bf34-4a88-98f7-0f5b32f04bb4];[e24a899d-8cdc-4ce7-aa1f-7cd68d6c1807]]
2026-04-26 10:47:37.023,15.458,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[b489e3b6-de25-41ed-86b2-c16021178ea3]]
2026-04-26 10:47:37.024,15.459,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[0d86c8d0-bf34-4a88-98f7-0f5b32f04bb4];[e24a899d-8cdc-4ce7-aa1f-7cd68d6c1807];[b489e3b6-de25-41ed-86b2-c16021178ea3]]
2026-04-26 10:47:37.036,15.471,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[2446ef9b-2946-4924-9820-fd498a925775]]
2026-04-26 10:47:38.030,16.465,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[05cd93b5-ecd2-4a4a-8024-e62f80309f80]]
2026-04-26 10:47:38.032,16.467,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[2446ef9b-2946-4924-9820-fd498a925775];[05cd93b5-ecd2-4a4a-8024-e62f80309f80]]
2026-04-26 10:47:38.045,16.480,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[0c535b99-1da9-4395-bc4e-b026689e84d2]]
2026-04-26 10:47:39.023,17.458,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[3c0811ec-113f-472d-a79a-c03fec88030d]]
2026-04-26 10:47:39.024,17.459,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[2446ef9b-2946-4924-9820-fd498a925775];[05cd93b5-ecd2-4a4a-8024-e62f80309f80];[3c0811ec-113f-472d-a79a-c03fec88030d]]
