# Logger: PatternLogger | Started: Sun Apr 26 11:02:03 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-26 11:02:07.306,3.569,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[abe5eda6-1c1d-4b89-9c3e-51116d07005b]]
2026-04-26 11:02:08.161,4.424,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[dd513c21-b0af-4136-a5a1-cf62aef1d186]]
2026-04-26 11:02:09.168,5.431,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[d6e51a57-da4f-4247-bc79-f8833f747855]]
2026-04-26 11:02:09.182,5.445,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[f17612fe-ddf2-4d7a-be8d-ffab98ffadd5]]
2026-04-26 11:02:09.197,5.460,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[abe5eda6-1c1d-4b89-9c3e-51116d07005b];[f17612fe-ddf2-4d7a-be8d-ffab98ffadd5]]
2026-04-26 11:02:10.165,6.428,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[65afed82-702a-456a-bf59-47c07d0f9692]]
2026-04-26 11:02:10.181,6.444,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e68bd721-7754-4b99-a6a3-09cadcf2ef9d]]
2026-04-26 11:02:10.185,6.448,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[abe5eda6-1c1d-4b89-9c3e-51116d07005b];[f17612fe-ddf2-4d7a-be8d-ffab98ffadd5];[e68bd721-7754-4b99-a6a3-09cadcf2ef9d]]
2026-04-26 11:02:10.185,6.448,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[65afed82-702a-456a-bf59-47c07d0f9692];[e68bd721-7754-4b99-a6a3-09cadcf2ef9d]]
2026-04-26 11:02:11.171,7.434,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[aee78e52-fd64-4d5c-bd11-bb53459370b0]]
2026-04-26 11:02:11.172,7.435,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[65afed82-702a-456a-bf59-47c07d0f9692];[e68bd721-7754-4b99-a6a3-09cadcf2ef9d];[aee78e52-fd64-4d5c-bd11-bb53459370b0]]
2026-04-26 11:02:11.184,7.447,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[ca4bf92e-c5c4-47dc-83cc-0690b06bf454]]
2026-04-26 11:02:12.179,8.442,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[39df7643-32a1-458d-818e-321571649547]]
2026-04-26 11:02:12.181,8.444,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[ca4bf92e-c5c4-47dc-83cc-0690b06bf454];[39df7643-32a1-458d-818e-321571649547]]
2026-04-26 11:02:12.195,8.458,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[7cae4eef-0ddd-4239-95c7-671c5a7c9d45]]
2026-04-26 11:02:13.161,9.424,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[abd3ac0c-66a9-4011-8f4f-dd2bcc434dfc]]
2026-04-26 11:02:13.177,9.440,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[73a34be0-838a-46c6-8248-7fb32bd73b53]]
2026-04-26 11:02:13.178,9.441,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[ca4bf92e-c5c4-47dc-83cc-0690b06bf454];[39df7643-32a1-458d-818e-321571649547];[73a34be0-838a-46c6-8248-7fb32bd73b53]]
2026-04-26 11:02:13.179,9.442,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[7cae4eef-0ddd-4239-95c7-671c5a7c9d45];[73a34be0-838a-46c6-8248-7fb32bd73b53]]
2026-04-26 11:02:14.172,10.435,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[f8440690-e190-4152-826b-1510059d8478]]
2026-04-26 11:02:14.184,10.447,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[46c3b626-af73-46d6-9390-c0eb07585377]]
2026-04-26 11:02:14.185,10.448,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[7cae4eef-0ddd-4239-95c7-671c5a7c9d45];[73a34be0-838a-46c6-8248-7fb32bd73b53];[46c3b626-af73-46d6-9390-c0eb07585377]]
