# Logger: PatternLogger | Started: Sun Apr 26 10:03:52 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-26 10:03:57.385,4.561,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[04e5c9a7-c316-4437-acda-0c419f1f1e21]]
2026-04-26 10:03:58.260,5.436,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[367f980e-7bc5-449f-81f8-bf098f15db6a]]
2026-04-26 10:03:58.276,5.452,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[fc70f86d-ca9a-4227-84a6-ea0f8ba7f0ba]]
2026-04-26 10:03:58.280,5.456,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[04e5c9a7-c316-4437-acda-0c419f1f1e21];[fc70f86d-ca9a-4227-84a6-ea0f8ba7f0ba]]
2026-04-26 10:03:59.262,6.438,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[147c335b-f525-49fc-a45e-7e92393df5ca]]
2026-04-26 10:03:59.271,6.447,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[04e5c9a7-c316-4437-acda-0c419f1f1e21];[fc70f86d-ca9a-4227-84a6-ea0f8ba7f0ba];[147c335b-f525-49fc-a45e-7e92393df5ca]]
2026-04-26 10:03:59.285,6.461,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[a69d9d5b-2d23-4b42-8e43-4d5c4f5ee6de]]
2026-04-26 10:04:00.258,7.434,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[1719312d-addc-4bf5-a7ec-069181cc8459]]
2026-04-26 10:04:00.259,7.435,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[a69d9d5b-2d23-4b42-8e43-4d5c4f5ee6de];[1719312d-addc-4bf5-a7ec-069181cc8459]]
2026-04-26 10:04:00.272,7.448,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[d57105a0-7022-4156-b696-dff9a99fd40d]]
2026-04-26 10:04:01.253,8.429,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[0601a952-70b0-4542-a2e8-bb11636e3c06]]
2026-04-26 10:04:01.267,8.443,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[68bb2585-b00f-429f-aa53-094d99d67e6b]]
2026-04-26 10:04:01.268,8.444,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[a69d9d5b-2d23-4b42-8e43-4d5c4f5ee6de];[1719312d-addc-4bf5-a7ec-069181cc8459];[68bb2585-b00f-429f-aa53-094d99d67e6b]]
2026-04-26 10:04:01.269,8.445,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[d57105a0-7022-4156-b696-dff9a99fd40d];[68bb2585-b00f-429f-aa53-094d99d67e6b]]
2026-04-26 10:04:02.262,9.438,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ac9ff373-d26b-4485-a720-8cfdc9d5d53b]]
2026-04-26 10:04:02.264,9.440,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[d57105a0-7022-4156-b696-dff9a99fd40d];[68bb2585-b00f-429f-aa53-094d99d67e6b];[ac9ff373-d26b-4485-a720-8cfdc9d5d53b]]
2026-04-26 10:04:02.277,9.453,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[b9e31f07-3ecd-44a3-b44c-47c0b9087492]]
2026-04-26 10:04:03.261,10.437,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[67842e97-afa5-419d-8b1b-15b808997b39]]
2026-04-26 10:04:03.274,10.450,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[9ce97b9a-2d32-4308-8f87-dd7dc86680b4]]
2026-04-26 10:04:03.275,10.451,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[b9e31f07-3ecd-44a3-b44c-47c0b9087492];[9ce97b9a-2d32-4308-8f87-dd7dc86680b4]]
2026-04-26 10:04:04.259,11.435,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[107bca77-0820-4ee1-9749-5e3232e1f4a2]]
2026-04-26 10:04:04.272,11.448,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[0cbd29cb-f87b-42e1-810e-8f8561dd47e6]]
2026-04-26 10:04:04.273,11.449,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[b9e31f07-3ecd-44a3-b44c-47c0b9087492];[9ce97b9a-2d32-4308-8f87-dd7dc86680b4];[0cbd29cb-f87b-42e1-810e-8f8561dd47e6]]
2026-04-26 10:04:04.274,11.450,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[107bca77-0820-4ee1-9749-5e3232e1f4a2];[0cbd29cb-f87b-42e1-810e-8f8561dd47e6]]
2026-04-26 10:04:05.250,12.426,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[5f9a5a70-2bed-40cc-a43f-2dfc794d3ca2]]
2026-04-26 10:04:05.266,12.442,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[8a26d066-25bc-4b9a-b14a-c7a7bab26d33]]
2026-04-26 10:04:05.267,12.443,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[107bca77-0820-4ee1-9749-5e3232e1f4a2];[0cbd29cb-f87b-42e1-810e-8f8561dd47e6];[8a26d066-25bc-4b9a-b14a-c7a7bab26d33]]
2026-04-26 10:04:05.267,12.443,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[5f9a5a70-2bed-40cc-a43f-2dfc794d3ca2];[8a26d066-25bc-4b9a-b14a-c7a7bab26d33]]
2026-04-26 10:04:06.256,13.432,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[bd7784cd-bd95-4e3c-9d7c-3b3d21368810]]
2026-04-26 10:04:06.257,13.433,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[5f9a5a70-2bed-40cc-a43f-2dfc794d3ca2];[8a26d066-25bc-4b9a-b14a-c7a7bab26d33];[bd7784cd-bd95-4e3c-9d7c-3b3d21368810]]
2026-04-26 10:04:06.269,13.445,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[29ed672a-0729-44cd-bfd6-49a9bda75974]]
2026-04-26 10:04:07.252,14.428,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[773d578e-738d-43f6-8aff-9cbcc54bf6e0]]
2026-04-26 10:04:07.267,14.443,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[747cdd7d-242d-4e64-9096-02cfe8ef2721]]
2026-04-26 10:04:07.267,14.443,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[29ed672a-0729-44cd-bfd6-49a9bda75974];[747cdd7d-242d-4e64-9096-02cfe8ef2721]]
2026-04-26 10:04:08.253,15.429,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[325a4178-d7c5-4f7b-86d2-2c576d52dd6b]]
2026-04-26 10:04:08.266,15.442,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[1335e14a-5dde-4c87-a2eb-94c5dc54a6f1]]
2026-04-26 10:04:08.267,15.443,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[29ed672a-0729-44cd-bfd6-49a9bda75974];[747cdd7d-242d-4e64-9096-02cfe8ef2721];[1335e14a-5dde-4c87-a2eb-94c5dc54a6f1]]
2026-04-26 10:04:08.268,15.444,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[325a4178-d7c5-4f7b-86d2-2c576d52dd6b];[1335e14a-5dde-4c87-a2eb-94c5dc54a6f1]]
2026-04-26 10:04:09.246,16.422,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[df27559a-6bb0-4695-8a02-e4a30d8e5d4d]]
2026-04-26 10:04:09.262,16.438,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ff1133aa-d83c-482d-a234-4d663cbfe3aa]]
2026-04-26 10:04:09.263,16.439,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[325a4178-d7c5-4f7b-86d2-2c576d52dd6b];[1335e14a-5dde-4c87-a2eb-94c5dc54a6f1];[ff1133aa-d83c-482d-a234-4d663cbfe3aa]]
2026-04-26 10:04:09.264,16.440,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[df27559a-6bb0-4695-8a02-e4a30d8e5d4d];[ff1133aa-d83c-482d-a234-4d663cbfe3aa]]
2026-04-26 10:04:10.260,17.436,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[90ec2ceb-2650-4640-8f7e-61b14df2f096]]
2026-04-26 10:04:10.274,17.450,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[fb74abe8-1c82-4f81-9cb7-def17df8029a]]
2026-04-26 10:04:10.275,17.451,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[df27559a-6bb0-4695-8a02-e4a30d8e5d4d];[ff1133aa-d83c-482d-a234-4d663cbfe3aa];[fb74abe8-1c82-4f81-9cb7-def17df8029a]]
2026-04-26 10:04:10.276,17.452,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[90ec2ceb-2650-4640-8f7e-61b14df2f096];[fb74abe8-1c82-4f81-9cb7-def17df8029a]]
2026-04-26 10:04:11.251,18.427,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[2ed3114a-eb7f-4733-b3cb-f51d4abb7443]]
2026-04-26 10:04:11.264,18.440,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[15b43a92-ec9d-4b73-bb21-5c07649e6a18]]
2026-04-26 10:04:11.267,18.443,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[90ec2ceb-2650-4640-8f7e-61b14df2f096];[fb74abe8-1c82-4f81-9cb7-def17df8029a];[15b43a92-ec9d-4b73-bb21-5c07649e6a18]]
2026-04-26 10:04:11.268,18.444,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[2ed3114a-eb7f-4733-b3cb-f51d4abb7443];[15b43a92-ec9d-4b73-bb21-5c07649e6a18]]
2026-04-26 10:04:12.265,19.441,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[271ff770-e9fb-40c9-b38b-6fa1b2317c91]]
2026-04-26 10:04:12.266,19.442,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[2ed3114a-eb7f-4733-b3cb-f51d4abb7443];[15b43a92-ec9d-4b73-bb21-5c07649e6a18];[271ff770-e9fb-40c9-b38b-6fa1b2317c91]]
2026-04-26 10:04:12.278,19.454,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[7ce7be25-ed5b-4e2d-bf6c-d87d99d99cd9]]
2026-04-26 10:04:13.250,20.426,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[d76b2747-fc61-40fc-8c4e-44c8ced4cecd]]
2026-04-26 10:04:13.267,20.443,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[34cc8a2d-a0b6-4e1b-8d31-52897164645e]]
2026-04-26 10:04:13.268,20.444,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[7ce7be25-ed5b-4e2d-bf6c-d87d99d99cd9];[34cc8a2d-a0b6-4e1b-8d31-52897164645e]]
2026-04-26 10:04:14.254,21.430,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6870f94e-c674-43ec-80e5-d93d2ff641d7]]
2026-04-26 10:04:14.255,21.431,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[7ce7be25-ed5b-4e2d-bf6c-d87d99d99cd9];[34cc8a2d-a0b6-4e1b-8d31-52897164645e];[6870f94e-c674-43ec-80e5-d93d2ff641d7]]
2026-04-26 10:04:14.268,21.444,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[234fc7d3-2c02-433f-b5fd-85f5fa326fb3]]
2026-04-26 10:04:15.252,22.428,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[58d8b40d-ff7b-43a7-a00e-ed30954061c7]]
2026-04-26 10:04:15.266,22.442,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[c1ead8bc-bdc6-417b-840f-fdc5a3c0f6dc]]
2026-04-26 10:04:15.267,22.443,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[234fc7d3-2c02-433f-b5fd-85f5fa326fb3];[c1ead8bc-bdc6-417b-840f-fdc5a3c0f6dc]]
2026-04-26 10:04:16.259,23.435,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[2e2cb73b-2669-495f-b807-4f4faae32421]]
2026-04-26 10:04:16.273,23.449,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[303c538f-4ffd-4736-86b7-4f27dad4cbf7]]
2026-04-26 10:04:16.275,23.451,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[234fc7d3-2c02-433f-b5fd-85f5fa326fb3];[c1ead8bc-bdc6-417b-840f-fdc5a3c0f6dc];[303c538f-4ffd-4736-86b7-4f27dad4cbf7]]
2026-04-26 10:04:16.275,23.451,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[2e2cb73b-2669-495f-b807-4f4faae32421];[303c538f-4ffd-4736-86b7-4f27dad4cbf7]]
2026-04-26 10:04:17.258,24.434,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[13e59d93-f193-448e-9aba-f047b6414f1f]]
2026-04-26 10:04:17.272,24.448,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7f12f5dd-2705-4edb-95be-3d09118dd4c6]]
2026-04-26 10:04:17.273,24.449,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[2e2cb73b-2669-495f-b807-4f4faae32421];[303c538f-4ffd-4736-86b7-4f27dad4cbf7];[7f12f5dd-2705-4edb-95be-3d09118dd4c6]]
2026-04-26 10:04:17.274,24.450,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[13e59d93-f193-448e-9aba-f047b6414f1f];[7f12f5dd-2705-4edb-95be-3d09118dd4c6]]
2026-04-26 10:04:18.244,25.420,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[a3e7f32e-ed67-4e86-82b2-772531b1470c]]
2026-04-26 10:04:18.262,25.438,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[8be243ec-0b11-407b-b6da-0d31eae81a88]]
2026-04-26 10:04:18.263,25.439,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[13e59d93-f193-448e-9aba-f047b6414f1f];[7f12f5dd-2705-4edb-95be-3d09118dd4c6];[8be243ec-0b11-407b-b6da-0d31eae81a88]]
2026-04-26 10:04:18.263,25.439,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[a3e7f32e-ed67-4e86-82b2-772531b1470c];[8be243ec-0b11-407b-b6da-0d31eae81a88]]
2026-04-26 10:04:19.249,26.425,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[d0ffe1b9-2918-4570-96b3-27c686081f18]]
2026-04-26 10:04:19.265,26.441,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[28381c67-11e8-4d97-ba1c-158d3b4cf2e6]]
2026-04-26 10:04:19.266,26.442,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[a3e7f32e-ed67-4e86-82b2-772531b1470c];[8be243ec-0b11-407b-b6da-0d31eae81a88];[28381c67-11e8-4d97-ba1c-158d3b4cf2e6]]
2026-04-26 10:04:19.266,26.442,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[d0ffe1b9-2918-4570-96b3-27c686081f18];[28381c67-11e8-4d97-ba1c-158d3b4cf2e6]]
2026-04-26 10:04:20.253,27.429,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[4c3ce2b0-2633-406d-85aa-a8ec2d38e420]]
2026-04-26 10:04:20.266,27.442,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[9979aefa-dca2-462d-b5f9-6c9c535c6ba3]]
2026-04-26 10:04:20.267,27.443,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[d0ffe1b9-2918-4570-96b3-27c686081f18];[28381c67-11e8-4d97-ba1c-158d3b4cf2e6];[9979aefa-dca2-462d-b5f9-6c9c535c6ba3]]
